trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
82,False,"{'a': 0.5, 'e': 0.6636502501363194}",20,9,12.930913316351253,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.6603402807049829}",20,0,-79.04801356251465,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.6570468198150567}",35,0,-41.703544689339054,"{0: 26, 1: 3, 2: 6, 3: 0, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.6537697851298473}",20,0,-111.34361911178287,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
86,False,"{'a': 0.5, 'e': 0.6505090947233165}",20,0,-29.41525565263626,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
87,False,"{'a': 0.5, 'e': 0.6472646670780347}",30,0,-36.757487834726675,"{0: 24, 1: 2, 2: 2, 3: 2, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.6440364210831414}",25,0,-110.20456931527006,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
89,False,"{'a': 0.5, 'e': 0.6408242760323187}",20,0,-28.16703529772696,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
90,False,"{'a': 0.5, 'e': 0.6376281516217733}",30,0,-56.24473223660826,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
91,False,"{'a': 0.5, 'e': 0.6344479679482282}",20,1,-85.15538653207165,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 2}",1
92,False,"{'a': 0.5, 'e': 0.631283645506926}",30,4,-33.05308653127321,"{0: 19, 1: 4, 2: 2, 3: 1, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.6281351051896408}",25,0,-46.641734116339485,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
94,False,"{'a': 0.5, 'e': 0.6250022682827008}",30,13,-16.995529345275852,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.62188505646502}",25,8,-54.4476573704021,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 1}",1
96,False,"{'a': 0.5, 'e': 0.6187833918061408}",25,7,-60.52589552205932,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 1}",1
97,False,"{'a': 0.5, 'e': 0.6156971967642851}",30,0,-80.42356657401393,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",0
98,False,"{'a': 0.5, 'e': 0.6126263941844161}",20,0,-108.30834190775008,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
99,False,"{'a': 0.5, 'e': 0.6095709072963093}",25,4,-89.74504737396228,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 1}",1
100,False,"{'a': 0.5, 'e': 0.6065306597126334}",30,14,-107.49270479644461,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 3}",1
101,False,"{'a': 0.5, 'e': 0.6035055754270405}",20,0,-88.87172997143061,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
102,False,"{'a': 0.5, 'e': 0.6004955788122659}",25,0,-121.42513362332576,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
103,False,"{'a': 0.5, 'e': 0.5975005946182375}",30,0,-45.51964460210247,"{0: 24, 1: 1, 2: 3, 3: 2, 4: 0}",0
